"","1864","1868","1872","1880","1888","1900","1904","1908","1916","1924","1928","1936","1940","1944","1948","1956","1964","1972","1860","1876","1884","1892","1896","1912","1920","1932","1952","1960","1968","1976","1980"
"1864",0,5,6,5,2,5,6,5,1,5,6,5,6,5,4,5,3,0,6,8,6,2,4,7,4,5,7,7,6,6,8
"1868",5,0,3,4,7,6,3,4,6,6,3,4,3,2,5,4,6,5,5,7,3,7,5,6,5,6,8,6,3,7,11
"1872",6,3,0,5,4,3,0,5,5,5,2,3,2,1,4,1,3,6,6,6,4,8,8,3,8,5,7,5,6,4,8
"1880",5,4,5,0,5,6,5,4,4,6,3,6,5,4,5,6,4,5,3,5,3,7,5,4,3,8,4,6,3,5,7
"1888",2,7,4,5,0,3,4,5,1,5,4,5,6,5,4,3,1,2,6,6,6,4,6,5,6,5,5,5,8,4,6
"1900",5,6,3,6,3,0,3,6,4,4,3,4,5,4,5,2,2,5,7,7,7,5,9,4,9,4,6,4,7,5,5
"1904",6,3,0,5,4,3,0,5,5,5,2,3,2,1,4,1,3,6,6,6,4,8,8,3,8,5,7,5,6,4,8
"1908",5,4,5,4,5,6,5,0,4,6,3,4,3,4,3,6,6,5,7,3,7,7,5,6,3,4,6,2,5,5,9
"1916",1,6,5,4,1,4,5,4,0,4,5,4,5,4,3,4,2,1,7,7,7,3,5,6,5,6,6,6,7,5,7
"1924",5,6,5,6,5,4,5,6,4,0,5,4,5,4,3,4,4,5,7,7,9,5,9,4,9,8,8,8,5,5,5
"1928",6,3,2,3,4,3,2,3,5,5,0,5,4,3,4,3,3,6,4,4,4,8,8,3,6,5,5,3,4,4,8
"1936",5,4,3,6,5,4,3,4,4,4,5,0,1,2,5,2,4,5,9,7,7,7,5,6,7,6,10,6,7,7,7
"1940",6,3,2,5,6,5,2,3,5,5,4,1,0,1,4,3,5,6,8,6,6,8,6,5,6,5,9,5,6,6,8
"1944",5,2,1,4,5,4,1,4,4,4,3,2,1,0,3,2,4,5,7,7,5,7,7,4,7,6,8,6,5,5,9
"1948",4,5,4,5,4,5,4,3,3,3,4,5,4,3,0,5,5,4,6,6,8,4,8,3,6,5,7,5,4,4,8
"1956",5,4,1,6,3,2,1,6,4,4,3,2,3,2,5,0,2,5,7,7,5,7,7,4,9,6,8,6,7,5,7
"1964",3,6,3,4,1,2,3,6,2,4,3,4,5,4,5,2,0,3,5,7,5,5,7,4,7,6,6,6,7,5,5
"1972",0,5,6,5,2,5,6,5,1,5,6,5,6,5,4,5,3,0,6,8,6,2,4,7,4,5,7,7,6,6,8
"1860",6,5,6,3,6,7,6,7,7,7,4,9,8,7,6,7,5,6,0,6,2,6,6,3,4,7,5,7,2,6,6
"1876",8,7,6,5,6,7,6,3,7,7,4,7,6,7,6,7,7,8,6,0,6,10,6,5,4,5,3,3,6,2,6
"1884",6,3,4,3,6,7,4,7,7,9,4,7,6,5,8,5,5,6,2,6,0,8,4,5,4,7,5,7,4,6,8
"1892",2,7,8,7,4,5,8,7,3,5,8,7,8,7,4,7,5,2,6,10,8,0,6,7,6,5,7,7,6,8,6
"1896",4,5,8,5,6,9,8,5,5,9,8,5,6,7,8,7,7,4,6,6,4,6,0,9,2,7,7,7,6,8,8
"1912",7,6,3,4,5,4,3,6,6,4,3,6,5,4,3,4,4,7,3,5,5,7,9,0,7,6,6,6,3,3,5
"1920",4,5,8,3,6,9,8,3,5,9,6,7,6,7,6,9,7,4,4,4,4,6,2,7,0,5,5,5,4,6,8
"1932",5,6,5,8,5,4,5,4,6,8,5,6,5,6,5,6,6,5,7,5,7,5,7,6,5,0,6,2,7,5,7
"1952",7,8,7,4,5,6,7,6,6,8,5,10,9,8,7,8,6,7,5,3,5,7,7,6,5,6,0,4,7,3,5
"1960",7,6,5,6,5,4,5,2,6,8,3,6,5,6,5,6,6,7,7,3,7,7,7,6,5,2,4,0,7,5,7
"1968",6,3,6,3,8,7,6,5,7,5,4,7,6,5,4,7,7,6,2,6,4,6,6,3,4,7,7,7,0,6,8
"1976",6,7,4,5,4,5,4,5,5,5,4,7,6,5,4,5,5,6,6,2,6,8,8,3,6,5,3,5,6,0,6
"1980",8,11,8,7,6,5,8,9,7,5,8,7,8,9,8,7,5,8,6,6,8,6,8,5,8,7,5,7,8,6,0
